sentiment,time,hashtags
2.0,1421696703.0,EFC
0.0,1421696704.0,EFC
1.0,1421696706.0,EFC
-4.0,1421696708.0
0.0,1421696710.0
0.0,1421696711.0,EFC
1.0,1421696712.0,EFC
0.0,1421696713.0
1.0,1421696717.0,EFC
4.0,1421696718.0,EFC
0.0,1421696719.0,EFC
0.0,1421696720.0
0.0,1421696722.0,EFC
0.0,1421696727.0
1.0,1421696729.0,EFC
2.0,1421696730.0
0.0,1421696731.0,EFC
1.0,1421696733.0,EFC
0.0,1421696734.0,EFC
0.0,1421696738.0
0.0,1421696744.0
1.0,1421696745.0,EFC
0.0,1421696748.0
-3.0,1421696748.0,EFC
0.0,1421696749.0,EFC
0.0,1421696755.0
0.0,1421696756.0,EFC
2.0,1421696761.0,EFC
4.0,1421696763.0
0.0,1421696766.0,EFC
0.0,1421696767.0,EFC
0.0,1421696768.0
0.0,1421696775.0,EFC
0.0,1421696783.0
0.0,1421696785.0
0.0,1421696786.0,EFC
2.0,1421696793.0,EFC
1.0,1421696795.0,EFC
1.0,1421696802.0,EFC
0.0,1421696813.0,EFC
1.0,1421696816.0,EFC
2.0,1421696820.0
4.0,1421696823.0,EFC
0.0,1421696823.0,EFC
4.0,1421696837.0,EFC
0.0,1421696839.0,EFC
0.0,1421696842.0,EFC
0.0,1421696845.0,EFC
-2.0,1421696846.0
0.0,1421696848.0
0.0,1421696853.0
0.0,1421696853.0,EFC
1.0,1421696856.0,EFC
0.0,1421696858.0,Both
0.0,1421696864.0,EFC
0.0,1421696866.0,EFC
0.0,1421696869.0,EFC
0.0,1421696873.0,EFC
0.0,1421696875.0
0.0,1421696876.0,EFC
0.0,1421696876.0,WBAFC
0.0,1421696877.0
-4.0,1421696878.0,EFC
0.0,1421696879.0,EFC
-4.0,1421696888.0
3.0,1421696891.0,EFC
0.0,1421696891.0,EFC
1.0,1421696898.0,EFC
0.0,1421696900.0
0.0,1421696901.0,EFC
1.0,1421696902.0,EFC
0.0,1421696903.0,EFC
3.0,1421696908.0
0.0,1421696913.0,EFC
0.0,1421696918.0
-2.0,1421696921.0
8.0,1421696925.0
0.0,1421696929.0,WBAFC
0.0,1421696935.0
1.0,1421696942.0,EFC
1.0,1421696943.0,EFC
0.0,1421696944.0
1.0,1421696947.0,EFC
8.0,1421696951.0
0.0,1421696956.0
0.0,1421696959.0,EFC
0.0,1421696960.0
0.0,1421696961.0,EFC
0.0,1421696964.0,EFC
0.0,1421696964.0,Both
0.0,1421696965.0,EFC
-2.0,1421696971.0
2.0,1421696974.0,EFC
0.0,1421696975.0
1.0,1421696975.0,EFC
1.0,1421696976.0,EFC
0.0,1421696976.0,EFC
0.0,1421696977.0
0.0,1421696982.0,WBAFC
0.0,1421696984.0,EFC
0.0,1421696984.0,WBAFC
1.0,1421696984.0,EFC
1.0,1421696986.0,EFC
1.0,1421696991.0,EFC
1.0,1421696992.0,EFC
0.0,1421696997.0
3.0,1421697002.0,EFC
0.0,1421697005.0,EFC
-1.0,1421697016.0
0.0,1421697017.0
0.0,1421697019.0,WBAFC
0.0,1421697020.0,EFC
0.0,1421697023.0,EFC
0.0,1421697023.0,EFC
0.0,1421697023.0,EFC
0.0,1421697024.0
0.0,1421697025.0,EFC
0.0,1421697027.0
1.0,1421697027.0,EFC
0.0,1421697032.0,EFC
2.0,1421697034.0
1.0,1421697039.0,EFC
1.0,1421697039.0,EFC
1.0,1421697041.0,EFC
0.0,1421697049.0
0.0,1421697049.0,EFC
0.0,1421697049.0
-3.0,1421697053.0
7.0,1421697059.0
0.0,1421697060.0,EFC
1.0,1421697063.0,EFC
4.0,1421697064.0,EFC
1.0,1421697066.0,EFC
3.0,1421697068.0
0.0,1421697071.0
1.0,1421697072.0,EFC
1.0,1421697072.0,EFC
2.0,1421697075.0
7.0,1421697081.0,EFC
-2.0,1421697083.0,EFC
1.0,1421697088.0,EFC
0.0,1421697090.0,EFC
0.0,1421697092.0,EFC
0.0,1421697098.0,WBAFC
1.0,1421697099.0,EFC
0.0,1421697102.0,EFC
12.0,1421697105.0
4.0,1421697109.0,EFC
6.0,1421697110.0,EFC
0.0,1421697118.0
0.0,1421697118.0,EFC
1.0,1421697118.0,EFC
0.0,1421697120.0
0.0,1421697124.0,EFC
0.0,1421697127.0,EFC
2.0,1421697129.0
0.0,1421697130.0,EFC
0.0,1421697136.0
0.0,1421697138.0
2.0,1421697140.0
0.0,1421697141.0
1.0,1421697148.0,EFC
1.0,1421697149.0,EFC
1.0,1421697149.0,EFC
0.0,1421697151.0
0.0,1421697151.0,EFC
0.0,1421697153.0,EFC
0.0,1421697155.0,EFC
3.0,1421697167.0
1.0,1421697167.0
0.0,1421697178.0,EFC
0.0,1421697183.0,EFC
-2.0,1421697183.0,EFC
0.0,1421697186.0,EFC
-4.0,1421697187.0
4.0,1421697188.0,EFC
0.0,1421697192.0
0.0,1421697196.0
0.0,1421697198.0,EFC
0.0,1421697203.0,EFC
0.0,1421697207.0
0.0,1421697208.0
0.0,1421697229.0
6.0,1421697232.0,EFC
3.0,1421697233.0
0.0,1421697237.0
0.0,1421697237.0,EFC
3.0,1421697238.0,EFC
0.0,1421697239.0,EFC
0.0,1421697242.0,WBAFC
0.0,1421697247.0
0.0,1421697254.0
-6.0,1421697260.0
1.0,1421697260.0,EFC
1.0,1421697261.0,EFC
-1.0,1421697262.0,EFC
1.0,1421697262.0,EFC
1.0,1421697263.0,EFC
1.0,1421697264.0,EFC
-2.0,1421697271.0
1.0,1421697276.0,EFC
1.0,1421697280.0,EFC
0.0,1421697281.0,EFC
0.0,1421697288.0,EFC
-3.0,1421697290.0
2.0,1421697291.0
1.0,1421697294.0,EFC
-2.0,1421697294.0,EFC
0.0,1421697294.0
0.0,1421697295.0
0.0,1421697298.0,EFC
0.0,1421697298.0,EFC
0.0,1421697298.0,EFC
0.0,1421697304.0,EFC
3.0,1421697312.0
0.0,1421697314.0
0.0,1421697314.0,EFC
3.0,1421697316.0
0.0,1421697317.0
0.0,1421697318.0,EFC
2.0,1421697318.0,EFC
0.0,1421697319.0,EFC
0.0,1421697319.0,EFC
0.0,1421697321.0,EFC
0.0,1421697321.0
0.0,1421697325.0,WBAFC
-6.0,1421697329.0,EFC
4.0,1421697333.0,EFC
0.0,1421697336.0
0.0,1421697340.0,EFC
0.0,1421697345.0,EFC
2.0,1421697345.0
0.0,1421697347.0,EFC
0.0,1421697350.0
1.0,1421697350.0,EFC
0.0,1421697352.0,EFC
0.0,1421697353.0,EFC
0.0,1421697354.0,EFC
0.0,1421697364.0
1.0,1421697366.0,EFC
0.0,1421697370.0,EFC
4.0,1421697371.0,EFC
0.0,1421697382.0,EFC
